ID, Name,Age,Gender,Email,City,Purchase_Amount,Duplicate_Flag,Duplicate_Flag(email),Age_Check, Email_Check,Purchase_amount_check,Final_Error_Flag
101, Aman ,25, M , aman@gmail.com , Delhi ,2000,Duplicate,Unique,Correct,Correct,Correct,Error
101, Ravi ,   , M , raviemail.com , Noida ,1500,Duplicate,Unique,Invalid,Invalid,Correct,Error
102, Sita ,130, F , sita@gmail.com , Delhi ,3000,Unique,Unique,Invalid,Correct,Correct,Error
103, Neha ,22, F , neha@gmail , Delhi ,2500,Unique,Unique,Correct,Invalid,Correct,Error
106, Karan ,-5, M , karan@gmail.com , Mumbai ,1800,Duplicate,Duplicate,Invalid,Correct,Correct,Error
105, ,28, F , pooja@gmail.com ,    ,2200,Unique,Unique,Correct,Correct,Correct,Clean
106, Amit ,35, M , amit@gmail.com , Pune , ,Duplicate,Unique,Correct,Correct,Correct,Error
106, Riya ,200, F , riya@gmail.com , Delhi ,2700,Duplicate,Unique,Invalid,Correct,Correct,Error
108, Mohan ,40, M , mohan.com , Jaipur ,1600,Unique,Unique,Correct,Invalid,Correct,Error
109, Tina ,27, F , tina@gmail.com , Delhi ,0,Unique,Unique,Correct,Correct,Correct,Clean
110, Raj ,    , M , raj@gmail.com , Noida ,1400,Unique,Unique,Invalid,Correct,Correct,Error
111, Simran ,26, F , simran@gmail , Delhi ,2100,Unique,Unique,Correct,Invalid,Correct,Error
112, Arjun ,29, M , arjun@gmail.com , Mumbai ,2300,Unique,Unique,Correct,Correct,Correct,Clean
113, Kavya ,-10, F , kavya@gmail.com , Pune ,2000,Unique,Unique,Invalid,Correct,Correct,Error
114, Rahul ,31, M , rahul@gmail , Delhi ,2500,Unique,Unique,Correct,Invalid,Correct,Error
115, Sneha ,24, F , sneha@gmail.com , Delhi , ,Unique,Unique,Correct,Correct,Correct,Clean
116, Varun ,150, M , varun@gmail.com , Jaipur ,2600,Unique,Unique,Invalid,Correct,Correct,Error
117, Nisha ,23, F ,, Delhi ,1700,Unique,Unique,Correct,Invalid,Correct,Error
